 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
255,115080,44655.926,4683,65535
256,115080,44901.781,0,65535
257,115080,44633.641,5108,65535
258,115080,44909.844,0,65535
259,115080,44756.715,1702,65535
260,115080,44859.406,3831,65535
261,115080,44894.816,0,65535
262,115080,44678.055,0,65535
263,115080,42637.406,5534,65535
264,115080,30224.131,6385,61305
265,115080,30745.213,1702,57899
266,115080,30524.930,0,65535
267,115080,30568.051,851,60028
268,115080,30516.715,0,58325
269,115080,30287.711,5108,56622
270,115080,30499.037,2128,61731
271,115080,30366.303,2554,57899
272,115080,30532.670,4257,60028
273,115080,30430.408,1277,62156
274,115080,30248.512,0,54493
275,115080,40697.246,5534,65535
276,115080,44635.262,5534,65535
277,115080,44856.984,3405,65535
278,115080,44783.273,5534,65535
279,115080,44957.520,3831,65535
280,115080,44867.129,5534,65535
281,115080,44697.938,0,65535
282,115080,45018.891,5960,65535
283,115080,44734.602,2554,65535
284,115080,44994.516,5960,65535
285,115080,44800.316,5534,65535
286,115080,42393.762,5960,65535
287,115080,30410.043,6385,61731
288,115080,30564.297,6811,61731
289,115080,30742.660,5534,59176
290,115080,30448.389,0,54493
291,115080,30701.834,5960,60453
292,115080,30516.039,4683,63859
293,115080,30621.475,5534,54067
294,115080,30579.326,2980,59176
295,115080,30353.184,3405,60453
296,115080,30620.295,2980,55770
297,115080,30322.969,5960,53216
298,115080,40816.352,5960,65535
299,115080,44649.617,5534,65535
300,115080,44711.598,5534,65535
301,115080,44759.898,4257,65535
302,115080,44566.277,0,65535
303,115080,44849.109,5534,65535
304,115080,44716.305,6385,65535
305,115080,44910.406,4683,65535
306,115080,44768.895,5960,65535
307,115080,44900.645,0,65535
308,115080,44984.055,425,65535
309,115080,41917.605,6811,65535
310,115080,30588.746,5534,59176
311,115080,30651.572,2554,54919
312,115080,30719.246,5108,61731
313,115080,30581.059,2980,58325
314,115080,30361.082,2554,61305
315,115080,30735.242,6811,56196
316,115080,30483.818,5534,56622
317,115080,30613.012,7237,52364
318,115080,30420.064,6811,59602
319,115080,30645.082,5960,54067
320,115080,30394.398,3831,60028
321,115080,40777.941,5960,65535
322,115080,44862.020,4683,65535
323,115080,44462.430,4683,65535
324,115080,44740.426,0,65535
325,115080,44480.910,1277,65535
326,115080,44722.738,4683,65535
327,115080,44513.801,0,65535
328,115080,44516.480,2980,65535
329,115080,44771.785,5534,65535
330,115080,44582.809,4683,65535
331,115080,44835.125,5960,65535
332,115080,41632.484,1702,65535
333,115080,30477.068,6811,60879
334,115080,30824.793,5108,62582
335,115080,30547.172,3405,65535
336,115080,30799.076,7237,63433
337,115080,30482.980,3405,52790
338,115080,30724.129,4257,58325
339,115080,30543.105,4257,60453
340,115080,30692.840,7663,65535
341,115080,30727.156,2554,52790
342,115080,30461.012,6385,57899
343,115080,30701.004,7663,56196
344,115080,41233.688,5534,65535
345,115080,44830.105,3831,65535
346,115080,44631.277,4257,65535
347,115080,44819.941,4683,65535
348,115080,44811.207,5960,65535
349,115080,44509.031,0,65535
350,115080,44797.965,2128,65535
351,115080,44650.945,2554,65535
352,115080,44794.480,5108,65535
353,115080,44576.414,0,65535
354,115080,44500.035,5108,65535
355,115080,41603.223,5960,65535
356,115080,30124.510,4683,51939
357,115080,30801.689,6811,54919
358,115080,30532.174,4257,52364
359,115080,30689.334,2554,56622
360,115080,30526.273,8088,60453
361,115080,30484.014,4683,53216
362,115080,30720.781,6811,60879
363,115080,30494.277,6385,54919
364,115080,30750.373,2554,61305
365,115080,30506.533,4257,59602
366,115080,30753.971,7663,57899
367,115080,41477.527,5108,65535
368,115080,44608.855,4683,65535
369,115080,44730.188,5108,65535
370,115080,44566.254,6385,65535
371,115080,44793.590,5108,65535
372,115080,44587.145,6385,65535
373,115080,44838.465,5108,65535
374,115080,44742.871,5534,65535
375,115080,44553.965,5534,65535
376,115080,44821.207,4683,65535
377,115080,44543.184,5108,65535
378,115080,41326.992,0,65535
379,115080,30358.168,5960,60879
380,115080,30682.156,6811,60453
381,115080,30677.221,4683,60879
382,115080,30355.244,5534,55770
383,115080,30600.404,6811,60453
384,115080,30403.125,4257,58750
385,115080,30598.387,7237,54493
386,115080,30344.127,0,65535
387,115080,30667.988,4683,57899
388,115080,30631.041,5960,62582
389,115080,30332.037,3405,64285
390,115080,41845.473,5960,65535
391,115080,44735.496,0,65535
