time,amplitude
8.723064827249420866e-03,2.880000000000000338e+00
8.727065315590282202e-03,2.880000000000000338e+00
8.731065803931147007e-03,2.880000000000000338e+00
8.735066292272008343e-03,2.880000000000000338e+00
8.739066780612869678e-03,2.880000000000000338e+00
8.743067268953731014e-03,2.880000000000000338e+00
8.747067757294592349e-03,2.880000000000000338e+00
8.751068245635453685e-03,2.880000000000000338e+00
8.755068733976318490e-03,2.880000000000000338e+00
8.759069222317179826e-03,2.880000000000000338e+00
8.763069710658041161e-03,2.880000000000000338e+00
8.767070198998902497e-03,2.880000000000000338e+00
8.771070687339763833e-03,2.880000000000000338e+00
8.775071175680625168e-03,2.880000000000000338e+00
8.779071664021489974e-03,2.880000000000000338e+00
8.783072152362351309e-03,2.880000000000000338e+00
8.787072640703212645e-03,2.880000000000000338e+00
8.791073129044073980e-03,2.880000000000000338e+00
8.795073617384935316e-03,2.880000000000000338e+00
8.799074105725800121e-03,2.880000000000000338e+00
8.803074594066661457e-03,2.800000000000000266e+00
8.807075082407522792e-03,2.880000000000000338e+00
8.811075570748384128e-03,2.880000000000000338e+00
8.815076059089245464e-03,2.880000000000000338e+00
8.819076547430106799e-03,2.880000000000000338e+00
8.823077035770971605e-03,2.880000000000000338e+00
8.827077524111832940e-03,2.880000000000000338e+00
8.831078012452694276e-03,2.880000000000000338e+00
8.835078500793555611e-03,2.880000000000000338e+00
8.839078989134416947e-03,2.880000000000000338e+00
8.843079477475278283e-03,2.880000000000000338e+00
8.847079965816143088e-03,2.880000000000000338e+00
8.851080454157004423e-03,2.880000000000000338e+00
8.855080942497865759e-03,2.880000000000000338e+00
8.859081430838727095e-03,2.880000000000000338e+00
8.863081919179588430e-03,2.880000000000000338e+00
8.867082407520449766e-03,2.880000000000000338e+00
8.871082895861314571e-03,2.880000000000000338e+00
8.875083384202175907e-03,2.800000000000000266e+00
8.879083872543037242e-03,2.880000000000000338e+00
8.883084360883898578e-03,2.880000000000000338e+00
8.887084849224759914e-03,2.880000000000000338e+00
8.891085337565621249e-03,2.880000000000000338e+00
8.895085825906486054e-03,2.880000000000000338e+00
8.899086314247347390e-03,2.880000000000000338e+00
8.903086802588208726e-03,2.880000000000000338e+00
8.907087290929070061e-03,2.880000000000000338e+00
8.911087779269931397e-03,2.880000000000000338e+00
8.915088267610792733e-03,2.880000000000000338e+00
8.919088755951657538e-03,2.880000000000000338e+00
8.923089244292518873e-03,2.880000000000000338e+00
8.927089732633380209e-03,2.880000000000000338e+00
8.931090220974241545e-03,2.880000000000000338e+00
8.935090709315102880e-03,2.880000000000000338e+00
8.939091197655964216e-03,2.880000000000000338e+00
8.943091685996829021e-03,2.880000000000000338e+00
8.947092174337690357e-03,2.880000000000000338e+00
8.951092662678551692e-03,2.800000000000000266e+00
8.955093151019413028e-03,2.880000000000000338e+00
8.959093639360274364e-03,2.880000000000000338e+00
8.963094127701135699e-03,2.880000000000000338e+00
8.967094616042000504e-03,2.800000000000000266e+00
8.971095104382861840e-03,2.880000000000000338e+00
8.975095592723723176e-03,2.880000000000000338e+00
8.979096081064584511e-03,2.880000000000000338e+00
8.983096569405445847e-03,2.880000000000000338e+00
8.987097057746307183e-03,2.880000000000000338e+00
8.991097546087171988e-03,2.880000000000000338e+00
8.995098034428033323e-03,2.880000000000000338e+00
8.999098522768894659e-03,2.880000000000000338e+00
9.003099011109755995e-03,2.880000000000000338e+00
9.007099499450617330e-03,2.880000000000000338e+00
9.011099987791478666e-03,2.880000000000000338e+00
9.015100476132343471e-03,2.880000000000000338e+00
9.019100964473204807e-03,2.880000000000000338e+00
9.023101452814066142e-03,2.880000000000000338e+00
9.027101941154927478e-03,2.880000000000000338e+00
9.031102429495788814e-03,2.880000000000000338e+00
9.035102917836650149e-03,2.880000000000000338e+00
9.039103406177514954e-03,2.880000000000000338e+00
9.043103894518376290e-03,2.880000000000000338e+00
9.047104382859237626e-03,2.880000000000000338e+00
9.051104871200098961e-03,2.880000000000000338e+00
9.055105359540960297e-03,2.880000000000000338e+00
9.059105847881821633e-03,2.880000000000000338e+00
9.063106336222686438e-03,2.880000000000000338e+00
9.067106824563547773e-03,2.880000000000000338e+00
9.071107312904409109e-03,2.880000000000000338e+00
9.075107801245270445e-03,2.880000000000000338e+00
9.079108289586131780e-03,2.880000000000000338e+00
9.083108777926996585e-03,2.800000000000000266e+00
9.087109266267857921e-03,2.880000000000000338e+00
9.091109754608719257e-03,2.880000000000000338e+00
9.095110242949580592e-03,2.880000000000000338e+00
9.099110731290441928e-03,2.880000000000000338e+00
9.103111219631303264e-03,2.880000000000000338e+00
9.107111707972168069e-03,2.880000000000000338e+00
9.111112196313029404e-03,2.880000000000000338e+00
9.115112684653890740e-03,2.880000000000000338e+00
9.119113172994752076e-03,2.880000000000000338e+00
9.123113661335613411e-03,2.880000000000000338e+00
9.127114149676474747e-03,2.880000000000000338e+00
9.131114638017339552e-03,2.880000000000000338e+00
9.135115126358200888e-03,2.880000000000000338e+00
9.139115614699062223e-03,2.800000000000000266e+00
9.143116103039923559e-03,2.880000000000000338e+00
9.147116591380784895e-03,2.880000000000000338e+00
9.151117079721646230e-03,2.880000000000000338e+00
9.155117568062511035e-03,2.880000000000000338e+00
9.159118056403372371e-03,2.880000000000000338e+00
9.163118544744233707e-03,2.880000000000000338e+00
9.167119033085095042e-03,2.880000000000000338e+00
9.171119521425956378e-03,2.880000000000000338e+00
9.175120009766817714e-03,2.880000000000000338e+00
9.179120498107682519e-03,2.800000000000000266e+00
9.183120986448543854e-03,2.880000000000000338e+00
9.187121474789405190e-03,2.880000000000000338e+00
9.191121963130266526e-03,2.880000000000000338e+00
9.195122451471127861e-03,2.880000000000000338e+00
9.199122939811989197e-03,2.880000000000000338e+00
9.203123428152854002e-03,2.880000000000000338e+00
9.207123916493715338e-03,2.880000000000000338e+00
9.211124404834576673e-03,2.880000000000000338e+00
9.215124893175438009e-03,2.800000000000000266e+00
9.219125381516299345e-03,2.880000000000000338e+00
9.223125869857160680e-03,2.880000000000000338e+00
9.227126358198025485e-03,2.880000000000000338e+00
9.231126846538886821e-03,2.880000000000000338e+00
9.235127334879748157e-03,2.880000000000000338e+00
9.239127823220609492e-03,2.880000000000000338e+00
9.243128311561470828e-03,2.880000000000000338e+00
9.247128799902332164e-03,2.880000000000000338e+00
9.251129288243196969e-03,2.880000000000000338e+00
9.255129776584058304e-03,2.880000000000000338e+00
9.259130264924919640e-03,2.880000000000000338e+00
9.263130753265780976e-03,2.880000000000000338e+00
9.267131241606642311e-03,2.880000000000000338e+00
9.271131729947503647e-03,2.880000000000000338e+00
9.275132218288368452e-03,2.880000000000000338e+00
9.279132706629229788e-03,2.880000000000000338e+00
9.283133194970091123e-03,2.880000000000000338e+00
9.287133683310952459e-03,2.880000000000000338e+00
9.291134171651813795e-03,2.880000000000000338e+00
9.295134659992675130e-03,2.880000000000000338e+00
9.299135148333539935e-03,2.880000000000000338e+00
9.303135636674401271e-03,2.880000000000000338e+00
9.307136125015262607e-03,2.880000000000000338e+00
9.311136613356123942e-03,2.880000000000000338e+00
9.315137101696985278e-03,2.880000000000000338e+00
9.319137590037846613e-03,2.880000000000000338e+00
9.323138078378711419e-03,2.880000000000000338e+00
9.327138566719572754e-03,2.880000000000000338e+00
9.331139055060434090e-03,2.880000000000000338e+00
9.335139543401295426e-03,2.800000000000000266e+00
9.339140031742156761e-03,2.880000000000000338e+00
9.343140520083018097e-03,2.880000000000000338e+00
9.347141008423882902e-03,2.880000000000000338e+00
9.351141496764744238e-03,2.880000000000000338e+00
9.355141985105605573e-03,2.880000000000000338e+00
9.359142473446466909e-03,2.880000000000000338e+00
9.363142961787328244e-03,2.880000000000000338e+00
9.367143450128193050e-03,2.880000000000000338e+00
9.371143938469054385e-03,2.880000000000000338e+00
9.375144426809915721e-03,2.880000000000000338e+00
9.379144915150777057e-03,2.800000000000000266e+00
9.383145403491638392e-03,2.880000000000000338e+00
9.387145891832499728e-03,2.880000000000000338e+00
9.391146380173364533e-03,2.880000000000000338e+00
9.395146868514225869e-03,2.880000000000000338e+00
9.399147356855087204e-03,2.880000000000000338e+00
9.403147845195948540e-03,2.880000000000000338e+00
9.407148333536809875e-03,2.880000000000000338e+00
9.411148821877671211e-03,2.880000000000000338e+00
9.415149310218536016e-03,2.880000000000000338e+00
9.419149798559397352e-03,2.880000000000000338e+00
9.423150286900258688e-03,2.880000000000000338e+00
9.427150775241120023e-03,2.880000000000000338e+00
9.431151263581981359e-03,2.880000000000000338e+00
9.435151751922842694e-03,2.880000000000000338e+00
9.439152240263707500e-03,2.880000000000000338e+00
9.443152728604568835e-03,2.880000000000000338e+00
9.447153216945430171e-03,2.880000000000000338e+00
9.451153705286291506e-03,2.880000000000000338e+00
9.455154193627152842e-03,2.880000000000000338e+00
9.459154681968014178e-03,2.880000000000000338e+00
9.463155170308878983e-03,2.880000000000000338e+00
9.467155658649740319e-03,2.880000000000000338e+00
9.471156146990601654e-03,2.880000000000000338e+00
9.475156635331462990e-03,2.880000000000000338e+00
9.479157123672324325e-03,2.880000000000000338e+00
9.483157612013185661e-03,2.880000000000000338e+00
9.487158100354050466e-03,2.880000000000000338e+00
9.491158588694911802e-03,2.880000000000000338e+00
9.495159077035773137e-03,2.880000000000000338e+00
9.499159565376634473e-03,2.880000000000000338e+00
9.503160053717495809e-03,2.880000000000000338e+00
9.507160542058357144e-03,2.880000000000000338e+00
9.511161030399221950e-03,2.880000000000000338e+00
9.515161518740083285e-03,2.880000000000000338e+00
9.519162007080944621e-03,2.880000000000000338e+00
9.523162495421805956e-03,2.880000000000000338e+00
9.527162983762667292e-03,2.880000000000000338e+00
9.531163472103528628e-03,2.880000000000000338e+00
9.535163960444393433e-03,2.880000000000000338e+00
9.539164448785254768e-03,2.880000000000000338e+00
9.543164937126116104e-03,2.800000000000000266e+00
9.547165425466977440e-03,2.880000000000000338e+00
9.551165913807838775e-03,2.880000000000000338e+00
9.555166402148700111e-03,2.880000000000000338e+00
9.559166890489564916e-03,2.880000000000000338e+00
9.563167378830426252e-03,2.880000000000000338e+00
9.567167867171287587e-03,2.880000000000000338e+00
9.571168355512148923e-03,2.880000000000000338e+00
9.575168843853010259e-03,2.880000000000000338e+00
9.579169332193871594e-03,2.800000000000000266e+00
9.583169820534736399e-03,2.800000000000000266e+00
9.587170308875597735e-03,2.880000000000000338e+00
9.591170797216459071e-03,2.880000000000000338e+00
9.595171285557320406e-03,2.880000000000000338e+00
9.599171773898181742e-03,2.880000000000000338e+00
9.603172262239043078e-03,2.880000000000000338e+00
9.607172750579907883e-03,2.800000000000000266e+00
